"","RC1","RC4","RC3","RC17","RC2","RC13","RC5","RC7","RC6","RC10","RC11","RC16","RC12","RC8","RC14","RC19","RC15","RC9","RC18","RC20"
"Av22.BOL.A.84.86",0.981977589851414,0.00155919884582158,0.0764668958476362,-0.0177374757196469,-0.0336678744919377,0.0104860539785716,-0.0011271489915999,0.0725603937499226,0.083556521014687,-0.0308254502711082,0.0290931683552012,0.0585497066855886,0.0488308143767338,0.02259497112665,0.0401354707131569,0.00804802867967813,-0.0168131660859544,-0.0116384675490994,-0.0109605932160256,-0.0497815251020886
"Av22.HAL.C.02.04",0.980548464708772,0.0256008318596398,0.0920428060499171,-0.0127358848810175,-0.0264819816054516,0.0471654175705242,-0.00807276181544297,0.081721419063451,0.047425573701159,-0.0297445392563514,0.0223827317917087,0.0560653062724062,0.0684356222276449,0.0469254336624265,0.0549690800003797,0.046494845467631,-0.00835766093172499,-0.00102555915524362,-0.00244524322347503,-0.0126607937551376
"Av22.HAL.C.14.16",0.988573100595591,0.0106864598441832,0.0789874929326136,-0.0142937841466678,-0.0247071126441305,0.0274557391982159,-0.00352756732921276,0.0569515351924643,0.040938749799595,-0.0277941142704171,0.0272808488372852,0.0497136164384243,0.0391537552550418,0.0151997254131164,0.0476522819124371,0.0125815182197679,-0.0121791626953823,-0.00500753670508731,-0.00408840062246509,-0.0254009061959872
"Av22.HAL.C.24.26",0.986552430841685,0.0160407440110595,0.0933043520654757,-0.0142582487297436,-0.0277944394766392,0.0254647971456677,-0.00714801642211188,0.0643405160435349,0.0421390351453668,-0.0298057970390034,0.0299252985820146,0.0494929536888774,0.0468181816539554,0.0245429308479455,0.0457290050969349,0.0183977346059879,-0.0129170306412408,-0.00365939990676336,-0.00404768200216448,-0.0185135989814934
"Av22.HAL.C.40.42",0.984293076614569,0.00855555324642018,0.101704583504102,-0.0149457072013258,-0.0230316728369145,0.0280987542119843,-0.00805418289691421,0.0734561767798918,0.0431240750588407,-0.0285571734211292,0.0222386025669131,0.0568213469374006,0.0544342195043982,0.0278290598151951,0.0433145823257977,0.0203794781172244,-0.0168694608766268,-0.00522311234685536,-0.0103685292197307,-0.0165860844081031
"Av22.HAL.C.52.54",0.981299155372972,0.0389624394453465,0.124863633714542,-0.0171968131644602,-0.0324547195967542,0.0261559968443407,-0.00345121727241642,0.0692190975588707,0.0419434052142865,-0.0261979167236938,0.0438604760800897,0.0424400554529804,0.0503000788428392,0.0359277770185438,0.038913607208272,0.0293025023558577,-0.0145849145231183,-0.00206004344250742,-0.00313193954467794,-0.00848262444737385
"Av22.HAL.C.64.66",0.97690118055663,0.0397140945199085,0.157653670525177,-0.00876727186582108,-0.0184399622264669,0.0367074623444608,-0.0063387036462123,0.0529661171120602,0.00677672046812443,-0.0224737896307397,0.0489016558694256,0.0397026380580439,0.0559450706191011,0.0374426060553793,0.0415030597603262,0.0223750142161687,-0.0146529210576322,0.00299111103020036,-0.00914171749873384,0.00972544398078087
"Av22.HAL.C.74.76",0.97795788648589,0.0378208553675544,0.154076421330858,0.000891776303229715,-0.0228821857070915,0.033132912019216,-0.0139296305898534,0.0558792983533001,0.0129631767719553,-0.0242786881997624,0.0538038806320329,0.040063879918183,0.0562854330953825,0.0314311553525446,0.0404573642676661,0.0186592442310609,-0.0081967839217898,0.000947495495929584,-0.00746452614746835,0.00349300455207235
"Av22.J.C.02.04",0.983656420081878,0.0320956738536226,0.100391089267989,-0.013832447653983,-0.0362790397243863,0.0217292689771794,-0.0011942974566044,0.0664072324755004,0.0642057477449249,-0.0257067803527541,0.0408310224047979,0.0474253042842561,0.0420609708219702,0.0217205994557268,0.0374392995127653,0.0224215770899971,-0.00766092330372908,-0.0063171044415532,-0.000803855652669896,-0.0313552388647275
"Av22.J.C.14.16",0.97311656268317,0.0544062707335806,0.167921565539203,-0.000504747478268948,-0.0243391435517563,0.0422028780822734,-0.0181113448621249,0.0555216326347597,-0.00147993027241617,-0.0231514962964437,0.053576171585624,0.0347691768976462,0.0579753095082647,0.0355610419979259,0.0432884045711605,0.0317354961154383,-0.00352267435564983,0.00574494876723587,-0.00416955232412009,0.0175839192892539
"Av22.J.C.24.26",0.969276319172879,0.0637538944583263,0.180875997064192,0.00578795972583719,-0.0213081726872746,0.0463505819674739,-0.0200136554822878,0.0521949784046981,-0.00467138957262911,-0.0196931634396207,0.0625816190474158,0.0311415521829008,0.0573155874754544,0.0338997356036233,0.0430882018303317,0.032738142677169,0.00233715098445974,0.00612773981401738,-0.00334171129134893,0.021978380170339
"Av22.J.C.40.42",0.985291977244827,0.0157806681288572,0.100404753328373,-0.0123513191669337,-0.0297794653874088,0.0271462214183173,-0.00521057444879816,0.0617835837360526,0.0434150593660055,-0.0278914788604193,0.0337861664127777,0.0500262126581187,0.0504503908650769,0.0316450295290395,0.0461671186538112,0.0157042729827387,-0.0144026768710543,-0.00501097587410626,-0.00638680833534556,-0.0203319097492044
"Av22.J.C.52.54",0.960288855992861,0.0533512135925975,0.185050198908938,0.00706866492869332,-0.012465723968025,0.0715570630130768,-0.0270512534362382,0.0659766780869774,-0.0212355196277361,-0.0170170201871622,0.0378641127823681,0.0449272917895427,0.0829998405367467,0.0573488745320254,0.053694635953523,0.0531586670862221,-0.000188603052310022,0.00799219638669037,-0.00729195519814564,0.0377091612374233
